"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Web","0","F01_sign up | Users can use the sign up functionality to create  their accounts","1","0","user sign up successfully","0"
"0","Web","0","Purchase Products","1","0","Add and purchase two products","0"
"0","Web","0","F02_Login | Users can use the login functionality successfully","1","0","User log in successfully","0"
